SourceFile,FileName,Keywords
photos/wander_020526-069.jpg,wander_020526-069.jpg,"birds, blue, framing, orange, goldenhour"
photos/wander_020526-070.jpg,wander_020526-070.jpg,"flora & fauna, green, framing, yellow, road, red"
photos/wander_020526-071.jpg,wander_020526-071.jpg,"brown, trees, birds, framing"
photos/wander_020526-072.jpg,wander_020526-072.jpg,"palette, trees, blue, green, framing, yellow, pink"
photos/wander_020526-073.jpg,wander_020526-073.jpg,"blurred, hills, man-made, orange, dark"
photos/wander_020526-074.jpg,wander_020526-074.jpg,"lightshow, trees, blue, hills, man-made, orange"
photos/wander_020526-075.jpg,wander_020526-075.jpg,"people, blurred, dark, lightshow, pink"
photos/wander_020526-076.jpg,wander_020526-076.jpg,"framing, yellow, people, dark"
photos/wander_020526-077.jpg,wander_020526-077.jpg,"hills, monochrome, framing, flora & fauna"
photos/wander_020526-078.jpg,wander_020526-078.jpg,"people, hills, stone, framing, texture"
photos/wander_020526-079.jpg,wander_020526-079.jpg,"people, hills, stone, framing, texture"
photos/wander_020526-080.jpg,wander_020526-080.jpg,"lightshow, trees, green, hills, framing, stone"
photos/wander_020526-081.jpg,wander_020526-081.jpg,"trees, green, framing, texture, hills, red"
photos/wander_020526-082.jpg,wander_020526-082.jpg,"palette, green, hills, yellow, man-made, texture"
photos/wander_020526-083.jpg,wander_020526-083.jpg,"lightshow, night, blue, man-made, red, dark"
photos/wander_020526-084.jpg,wander_020526-084.jpg,"trees, blue, blurred, goldenhour, orange, dark"
photos/wander_020526-085.jpg,wander_020526-085.jpg,"water, flora & fauna, white, blurred"
photos/wander_020526-086.jpg,wander_020526-086.jpg,"palette, texture, orange, green"
photos/wander_020526-087.jpg,wander_020526-087.jpg,"palette, green, brown, yellow, man-made, blurred"
photos/wander_020526-088.jpg,wander_020526-088.jpg,"blurred, green, road, yellow, hills, white"
photos/wander_020526-089.jpg,wander_020526-089.jpg,"trees, green, hills, framing, white"
photos/wander_020526-090.jpg,wander_020526-090.jpg,"water, trees, green, hills, framing, people, red"
photos/wander_020526-091.jpg,wander_020526-091.jpg,"people, blue, hills, framing, water, red"
photos/wander_020526-092.jpg,wander_020526-092.jpg,"framing, people, blue, pink"
photos/wander_020526-093.jpg,wander_020526-093.jpg,"people, framing, brown, green"
photos/wander_020526-094.jpg,wander_020526-094.jpg,"lightshow, brown, red, chicken, dark"
photos/wander_020526-095.jpg,wander_020526-095.jpg,"people, green, hills, framing, orange, palette"
photos/wander_020526-096.jpg,wander_020526-096.jpg,"people, blue, green, hills, framing, road, brown"
photos/wander_020526-097.jpg,wander_020526-097.jpg,"people, green, hills, framing, pink"
photos/wander_020526-098.jpg,wander_020526-098.jpg,"palette, green, hills, framing, orange, Arts"
photos/wander_020526-099.jpg,wander_020526-099.jpg,"people, green, hills, flora & fauna, symmetry"
photos/wander_020526-100.jpg,wander_020526-100.jpg,"white, man-made, blurred, dark"
photos/wander_020526-101.jpg,wander_020526-101.jpg,"lightshow, night, city, white, architecture, dark"
photos/wander_020526-102.jpg,wander_020526-102.jpg,"stone, architecture, Arts, framing, yellow"
photos/wander_020526-103.jpg,wander_020526-103.jpg,"stone, blue, Arts, palette, architecture"
photos/wander_020526-104.jpg,wander_020526-104.jpg,"blue, framing, architecture, city, white"
photos/wander_020526-105.jpg,wander_020526-105.jpg,"framing, people, city, dark"
photos/wander_020526-106.jpg,wander_020526-106.jpg,"white, birds, night, dark"
photos/wander_020526-107.jpg,wander_020526-107.jpg,"lightshow, city, Arts, red, man-made, yellow, dark"
photos/wander_020526-108.jpg,wander_020526-108.jpg,"chicken, white, brown, stone, framing, red"
photos/wander_020526-109.jpg,wander_020526-109.jpg,"texture, man-made, yellow, Arts"
photos/wander_020526-110.jpg,wander_020526-110.jpg,"hills, framing, chicken, green"
photos/wander_020526-111.jpg,wander_020526-111.jpg,"framing, stone, people, water"
photos/wander_020526-112.jpg,wander_020526-112.jpg,"stone, trees, framing, green, hills, road, people, texture"
photos/wander_020526-113.jpg,wander_020526-113.jpg,"trees, texture, green"
photos/wander_020526-114.jpg,wander_020526-114.jpg,"lightshow, night, road, yellow, blurred, dark"
photos/wander_020526-115.jpg,wander_020526-115.jpg,"lightshow, night, blue, road, red, dark"
photos/wander_020526-116.jpg,wander_020526-116.jpg,"people, city, Arts, framing, monochrome, white"
photos/wander_020526-117.jpg,wander_020526-117.jpg,"people, city, Arts, framing, monochrome, blurred, white"
photos/wander_020526-118.jpg,wander_020526-118.jpg,"people, blue, Arts, framing, green, city, red"
photos/wander_020526-119.jpg,wander_020526-119.jpg,"palette, city, Arts, framing, yellow, people, blue"
photos/wander_020526-120.jpg,wander_020526-120.jpg,"people, architecture, Arts, framing, monochrome, lightshow, dark"
photos/wander_020526-121.jpg,wander_020526-121.jpg,"blue, architecture, framing, city, orange, white"
photos/wander_020526-122.jpg,wander_020526-122.jpg,"palette, Arts, brown, people, framing"
photos/wander_020526-123.jpg,wander_020526-123.jpg,"people, green, brown, yellow, Arts, blurred"
photos/wander_020526-124.jpg,wander_020526-124.jpg,"palette, blue, Arts, framing, yellow, architecture, stone"
photos/wander_020526-125.jpg,wander_020526-125.jpg,"symmetry, trees, architecture, green"
photos/wander_020526-126.jpg,wander_020526-126.jpg,"reflection, trees, architecture, green, framing"
photos/wander_020526-127.jpg,wander_020526-127.jpg,"lightshow, night, city, monochrome, dark"
photos/wander_020526-128.jpg,wander_020526-128.jpg,"palette, green, man-made, yellow, orange, red"
photos/wander_020526-129.jpg,wander_020526-129.jpg,"palette, man-made, blue, green"
photos/wander_020526-130.jpg,wander_020526-130.jpg,"palette, blue, pattern, man-made, orange, red"
photos/wander_020526-131.jpg,wander_020526-131.jpg,"city, green, goldenhour, man-made, orange, blurred"
photos/wander_020526-132.jpg,wander_020526-132.jpg,"people, city, framing, orange, goldenhour"
photos/wander_020526-133.jpg,wander_020526-133.jpg,"people, monochrome, city"
photos/wander_020526-134.jpg,wander_020526-134.jpg,"people, city, yellow, goldenhour, blurred"
photos/wander_020526-135.jpg,wander_020526-135.jpg,"trees, goldenhour, blue, yellow, architecture, city"
photos/wander_020526-136.jpg,wander_020526-136.jpg,"people, beach, brown, water, symmetry"
photos/wander_020526-137.jpg,wander_020526-137.jpg,"lightshow, goldenhour, beach, water, people, orange, pink"
